Mes;Día;Hora;coeficientes
1;1;1;0,000131077512
1;1;2;0,000112502644
1;1;3;0,000097819038
1;1;4;0,000088703594
1;1;5;0,000083952384
1;1;6;0,000082705460
1;1;7;0,000084489851
1;1;8;0,000089649536
1;1;9;0,000098055524
1;1;10;0,000121489096
1;1;11;0,000144836673
1;1;12;0,000155113047
1;1;13;0,000158144362
1;1;14;0,000165668903
1;1;15;0,000166292365
1;1;16;0,000149716876
1;1;17;0,000140278951
1;1;18;0,000140816418
1;1;19;0,000160530716
1;1;20;0,000177944655
1;1;21;0,000190542887
1;1;22;0,000191574825
1;1;23;0,000171237064
1;1;24;0,000142987786
1;2;1;0,000120338916
1;2;2;0,000099753921
1;2;3;0,000088241372
1;2;4;0,000082447475
1;2;5;0,000080555591
1;2;6;0,000083103185
1;2;7;0,000095217697
1;2;8;0,000120779639
1;2;9;0,000132410430
1;2;10;0,000138537557
1;2;11;0,000144750678
1;2;12;0,000144363702
1;2;13;0,000146115845
1;2;14;0,000154887310
1;2;15;0,000159294542
1;2;16;0,000151501267
1;2;17;0,000144944166
1;2;18;0,000147115534
1;2;19;0,000164765958
1;2;20;0,000184329766
1;2;21;0,000199271355
1;2;22;0,000200797762
1;2;23;0,000178740107
1;2;24;0,000147180030
1;3;1;0,000123248080
1;3;2;0,000102415849
1;3;3;0,000090421535
1;3;4;0,000084368676
1;3;5;0,000082326301
1;3;6;0,000084888554
1;3;7;0,000096660064
1;3;8;0,000122245459
1;3;9;0,000134573980
1;3;10;0,000141777996
1;3;11;0,000148350732
1;3;12;0,000147979391
1;3;13;0,000149130548
1;3;14;0,000157002977
1;3;15;0,000161941812
1;3;16;0,000155034870
1;3;17;0,000148610670
1;3;18;0,000149687559
1;3;19;0,000165172479
1;3;20;0,000180137522
1;3;21;0,000190497936
1;3;22;0,000194434150
1;3;23;0,000178726426
1;3;24;0,000154069383
1;4;1;0,000130934838
1;4;2;0,000109694133
1;4;3;0,000095620309
1;4;4;0,000087933550
1;4;5;0,000084405810
1;4;6;0,000084591481
1;4;7;0,000088193489
1;4;8;0,000097402746
1;4;9;0,000112330654
1;4;10;0,000138918670
1;4;11;0,000157151513
1;4;12;0,000160270778
1;4;13;0,000159639498
1;4;14;0,000167549061
1;4;15;0,000170519790
1;4;16;0,000156854441
1;4;17;0,000146419758
1;4;18;0,000144934394
1;4;19;0,000159750900
1;4;20;0,000173564786
1;4;21;0,000183331054
1;4;22;0,000188492694
1;4;23;0,000174418870
1;4;24;0,000152435483
1;5;1;0,000131077512
1;5;2;0,000112502644
1;5;3;0,000097819038
1;5;4;0,000088703594
1;5;5;0,000083952384
1;5;6;0,000082705460
1;5;7;0,000084489851
1;5;8;0,000089649536
1;5;9;0,000098055524
1;5;10;0,000121489096
1;5;11;0,000144836673
1;5;12;0,000155113047
1;5;13;0,000158144362
1;5;14;0,000165668903
1;5;15;0,000166292365
1;5;16;0,000149716876
1;5;17;0,000140278951
1;5;18;0,000140816418
1;5;19;0,000160530716
1;5;20;0,000177944655
1;5;21;0,000190542887
1;5;22;0,000191574825
1;5;23;0,000171237064
1;5;24;0,000142987786
1;6;1;0,000131077512
1;6;2;0,000112502644
1;6;3;0,000097819038
1;6;4;0,000088703594
1;6;5;0,000083952384
1;6;6;0,000082705460
1;6;7;0,000084489851
1;6;8;0,000089649536
1;6;9;0,000098055524
1;6;10;0,000121489096
1;6;11;0,000144836673
1;6;12;0,000155113047
1;6;13;0,000158144362
1;6;14;0,000165668903
1;6;15;0,000166292365
1;6;16;0,000149716876
1;6;17;0,000140278951
1;6;18;0,000140816418
1;6;19;0,000160530716
1;6;20;0,000177944655
1;6;21;0,000190542887
1;6;22;0,000191574825
1;6;23;0,000171237064
1;6;24;0,000142987786
1;7;1;0,000120338916
1;7;2;0,000099753921
1;7;3;0,000088241372
1;7;4;0,000082447475
1;7;5;0,000080555591
1;7;6;0,000083103185
1;7;7;0,000095217697
1;7;8;0,000120779639
1;7;9;0,000132410430
1;7;10;0,000138537557
1;7;11;0,000144750678
1;7;12;0,000144363702
1;7;13;0,000146115845
1;7;14;0,000154887310
1;7;15;0,000159294542
1;7;16;0,000151501267
1;7;17;0,000144944166
1;7;18;0,000147115534
1;7;19;0,000164765958
1;7;20;0,000184329766
1;7;21;0,000199271355
1;7;22;0,000200797762
1;7;23;0,000178740107
1;7;24;0,000147180030
1;8;1;0,000120338916
1;8;2;0,000099753921
1;8;3;0,000088241372
1;8;4;0,000082447475
1;8;5;0,000080555591
1;8;6;0,000083103185
1;8;7;0,000095217697
1;8;8;0,000120779639
1;8;9;0,000132410430
1;8;10;0,000138537557
1;8;11;0,000144750678
1;8;12;0,000144363702
1;8;13;0,000146115845
1;8;14;0,000154887310
1;8;15;0,000159294542
1;8;16;0,000151501267
1;8;17;0,000144944166
1;8;18;0,000147115534
1;8;19;0,000164765958
1;8;20;0,000184329766
1;8;21;0,000199271355
1;8;22;0,000200797762
1;8;23;0,000178740107
1;8;24;0,000147180030
1;9;1;0,000120338916
1;9;2;0,000099753921
1;9;3;0,000088241372
1;9;4;0,000082447475
1;9;5;0,000080555591
1;9;6;0,000083103185
1;9;7;0,000095217697
1;9;8;0,000120779639
1;9;9;0,000132410430
1;9;10;0,000138537557
1;9;11;0,000144750678
1;9;12;0,000144363702
1;9;13;0,000146115845
1;9;14;0,000154887310
1;9;15;0,000159294542
1;9;16;0,000151501267
1;9;17;0,000144944166
1;9;18;0,000147115534
1;9;19;0,000164765958
1;9;20;0,000184329766
1;9;21;0,000199271355
1;9;22;0,000200797762
1;9;23;0,000178740107
1;9;24;0,000147180030
1;10;1;0,000123248080
1;10;2;0,000102415849
1;10;3;0,000090421535
1;10;4;0,000084368676
1;10;5;0,000082326301
1;10;6;0,000084888554
1;10;7;0,000096660064
1;10;8;0,000122245459
1;10;9;0,000134573980
1;10;10;0,000141777996
1;10;11;0,000148350732
1;10;12;0,000147979391
1;10;13;0,000149130548
1;10;14;0,000157002977
1;10;15;0,000161941812
1;10;16;0,000155034870
1;10;17;0,000148610670
1;10;18;0,000149687559
1;10;19;0,000165172479
1;10;20;0,000180137522
1;10;21;0,000190497936
1;10;22;0,000194434150
1;10;23;0,000178726426
1;10;24;0,000154069383
1;11;1;0,000130934838
1;11;2;0,000109694133
1;11;3;0,000095620309
1;11;4;0,000087933550
1;11;5;0,000084405810
1;11;6;0,000084591481
1;11;7;0,000088193489
1;11;8;0,000097402746
1;11;9;0,000112330654
1;11;10;0,000138918670
1;11;11;0,000157151513
1;11;12;0,000160270778
1;11;13;0,000159639498
1;11;14;0,000167549061
1;11;15;0,000170519790
1;11;16;0,000156854441
1;11;17;0,000146419758
1;11;18;0,000144934394
1;11;19;0,000159750900
1;11;20;0,000173564786
1;11;21;0,000183331054
1;11;22;0,000188492694
1;11;23;0,000174418870
1;11;24;0,000152435483
1;12;1;0,000131077512
1;12;2;0,000112502644
1;12;3;0,000097819038
1;12;4;0,000088703594
1;12;5;0,000083952384
1;12;6;0,000082705460
1;12;7;0,000084489851
1;12;8;0,000089649536
1;12;9;0,000098055524
1;12;10;0,000121489096
1;12;11;0,000144836673
1;12;12;0,000155113047
1;12;13;0,000158144362
1;12;14;0,000165668903
1;12;15;0,000166292365
1;12;16;0,000149716876
1;12;17;0,000140278951
1;12;18;0,000140816418
1;12;19;0,000160530716
1;12;20;0,000177944655
1;12;21;0,000190542887
1;12;22;0,000191574825
1;12;23;0,000171237064
1;12;24;0,000142987786
1;13;1;0,000117436593
1;13;2;0,000097858965
1;13;3;0,000087063551
1;13;4;0,000081636668
1;13;5;0,000079798530
1;13;6;0,000082453618
1;13;7;0,000094532810
1;13;8;0,000120529333
1;13;9;0,000131937459
1;13;10;0,000137743641
1;13;11;0,000144833602
1;13;12;0,000145008662
1;13;13;0,000146788447
1;13;14;0,000155424778
1;13;15;0,000160151418
1;13;16;0,000152448745
1;13;17;0,000145212900
1;13;18;0,000147167745
1;13;19;0,000165140650
1;13;20;0,000185885350
1;13;21;0,000201786702
1;13;22;0,000203128835
1;13;23;0,000179233041
1;13;24;0,000146088204
1;14;1;0,000120338916
1;14;2;0,000099753921
1;14;3;0,000088241372
1;14;4;0,000082447475
1;14;5;0,000080555591
1;14;6;0,000083103185
1;14;7;0,000095217697
1;14;8;0,000120779639
1;14;9;0,000132410430
1;14;10;0,000138537557
1;14;11;0,000144750678
1;14;12;0,000144363702
1;14;13;0,000146115845
1;14;14;0,000154887310
1;14;15;0,000159294542
1;14;16;0,000151501267
1;14;17;0,000144944166
1;14;18;0,000147115534
1;14;19;0,000164765958
1;14;20;0,000184329766
1;14;21;0,000199271355
1;14;22;0,000200797762
1;14;23;0,000178740107
1;14;24;0,000147180030
1;15;1;0,000120338916
1;15;2;0,000099753921
1;15;3;0,000088241372
1;15;4;0,000082447475
1;15;5;0,000080555591
1;15;6;0,000083103185
1;15;7;0,000095217697
